Cherkasy Raion	Cherkasy Oblast	Cherkasy
Uman Raion	Cherkasy Oblast	Uman
Zolotonosha Raion	Cherkasy Oblast	Zolotonosha
Zvenyhorodka Raion	Cherkasy Oblast	Zvenyhorodka
Chernihiv Raion	Chernihiv Oblast	Chernihiv
Nizhyn Raion	Chernihiv Oblast	Nizhyn
Pryluky Raion	Chernihiv Oblast	Pryluky
Novhorod-Siverskyi Raion	Chernihiv Oblast	Novhorod-Siverskyi
Koriukivka Raion	Chernihiv Oblast	Koriukivka
Chernivtsi Raion	Chernivtsi Oblast	Chernivtsi
Dnistrovskyi Raion	Chernivtsi Oblast	Kelmentsi
Vyzhnytsia Raion	Chernivtsi Oblast	Vyzhnytsia
Dnipro Raion	Dnipropetrovsk Oblast	Dnipro
Kryvyi Rih Raion	Dnipropetrovsk Oblast	Kryvyi Rih
Kamianske Raion	Dnipropetrovsk Oblast	Kamianske
Nikopol Raion	Dnipropetrovsk Oblast	Nikopol
Pavlohrad Raion	Dnipropetrovsk Oblast	Pavlohrad
Samar Raion	Dnipropetrovsk Oblast	Samar
Synelnykove Raion	Dnipropetrovsk Oblast	Synelnykove
Donetsk Raion	Donetsk Oblast	Donetsk
Mariupol Raion	Donetsk Oblast	Mariupol
Horlivka Raion	Donetsk Oblast	Horlivka
Kramatorsk Raion	Donetsk Oblast	Kramatorsk
Bakhmut Raion	Donetsk Oblast	Bakhmut
Pokrovsk Raion	Donetsk Oblast	Pokrovsk
Volnovakha Raion	Donetsk Oblast	Volnovakha
Kalmiuske Raion	Donetsk Oblast	Kalmiuske
Ivano-Frankivsk Raion	Ivano-Frankivsk Oblast	Ivano-Frankivsk
Kalush Raion	Ivano-Frankivsk Oblast	Kalush
Kolomyia Raion	Ivano-Frankivsk Oblast	Kolomyia
Nadvirna Raion	Ivano-Frankivsk Oblast	Nadvirna
Kosiv Raion	Ivano-Frankivsk Oblast	Kosiv
Verkhovyna Raion	Ivano-Frankivsk Oblast	Verkhovyna
Kharkiv Raion	Kharkiv Oblast	Kharkiv
Lozova Raion	Kharkiv Oblast	Lozova
Izium Raion	Kharkiv Oblast	Izium
Chuhuiv Raion	Kharkiv Oblast	Chuhuiv
Kupiansk Raion	Kharkiv Oblast	Kupiansk
Berestyn Raion	Kharkiv Oblast	Berestyn
Bohodukhiv Raion	Kharkiv Oblast	Bohodukhiv
Kherson Raion	Kherson Oblast	Kherson
Kakhovka Raion	Kherson Oblast	Nova Kakhovka
Henichesk Raion	Kherson Oblast	Henichesk
Skadovsk Raion	Kherson Oblast	Skadovsk
Beryslav Raion	Kherson Oblast	Beryslav
Khmelnytskyi Raion	Khmelnytskyi Oblast	Khmelnytskyi
Kamianets-Podilskyi Raion	Khmelnytskyi Oblast	Kamianets-Podilskyi
Shepetivka Raion	Khmelnytskyi Oblast	Shepetivka
Kropyvnytskyi Raion	Kirovohrad Oblast	Kropyvnytskyi
Oleksandriia Raion	Kirovohrad Oblast	Oleksandriia
Novoukrainka Raion	Kirovohrad Oblast	Novoukrainka
Holovanivsk Raion	Kirovohrad Oblast	Holovanivsk
